# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 23, mean observations per image: 23
1 0.13991504316847325 0.989385012165593 0.032684821590965946 -0.021743523974279096 2.579432136855099 -0.5402504576158386 1.4042674732996623 1 0.png

3 0.13547639571741396 0.990020640936026 0.03207967568904024 -0.021821345781699395 2.5797862289171 -0.7007117746635717 1.4051247561486342 1 2.png

5 0.1479432043123546 0.9882484900633686 0.03197669590085003 -0.02133591114833252 2.579558232646239 -1.2110097803869926 1.402125903911855 1 4.png

7 0.13777370459282495 0.989709777902722 0.031975435362557286 -0.02169178139039459 2.579688241814361 -1.245347990927433 1.4042181595550511 1 6.png

9 0.14021467083005976 0.9893660400382132 0.03207679691104964 -0.021581566278885144 2.579617942186669 -1.7786885817135767 1.4061198260106405 1 8.png

11 0.1391380223721529 0.9895199391344089 0.03198943766738105 -0.021623521071427128 2.579619061324706 -1.832896990337699 1.404864393868823 1 10.png

13 0.13912221310994066 0.9895222966110057 0.031982043522882114 -0.02162829677005183 2.5796192649903706 -1.8328704201614565 1.4047234716983859 1 12.png

15 0.23194230440996028 0.9717842646180324 0.03857864656186355 -0.018702900717327265 2.5803634806738227 -1.8616175204028558 1.4494119318017686 1 14.png

17 -0.7218892149573733 -0.686655255026495 -0.08474993679473575 -0.014070191399355338 2.5893695339058 -2.0864028750709473 1.5439783132295357 1 16.png

19 -0.9486266800613138 -0.2854319363022646 -0.12516742170563022 -0.05448989042156227 2.605810793472914 -2.1447869583519044 1.4908250433495833 1 18.png

21 0.9494748795778014 0.2674805174296314 0.15231549365468633 0.06125043868435395 2.6292696668819153 -2.1225931907673794 1.4810412617960136 1 20.png

23 0.9469046339274455 0.2745456846041059 0.15534698575502048 0.062157825966024455 2.6318045754263713 -2.127621551089951 1.4843467196700848 1 22.png

